doc_id,source,investigation_num
131,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96c0135/r96c0135.html,R96C0135
132,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96c0172/r96c0172.html,R96C0172
133,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96d0018/r96d0018.html,R96D0018
134,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96d0029/r96d0029.html,R96D0029
135,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96d0035/r96d0035.html,R96D0035
136,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96h0021/r96h0021.html,R96H0021
137,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96m0011/r96m0011.html,R96M0011
138,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96q0050/r96q0050.html,R96Q0050
139,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96s0106/r96s0106.html,R96S0106
140,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96t0008/r96t0008.html,R96T0008
141,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96t0080/r96t0080.html,R96T0080
142,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96t0095/r96t0095.html,R96T0095
143,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96t0111/r96t0111.html,R96T0111
144,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96t0137/r96t0137.html,R96T0137
145,https://tsb.gc.ca/eng/rapports-reports/rail/1996/r96w0171/r96w0171.html,R96W0171
146,https://tsb.gc.ca/eng/rapports-reports/rail/1997/r97c0147/r97c0147.html,R97C0147
147,https://tsb.gc.ca/eng/rapports-reports/rail/1997/r97d0113/r97d0113.html,R97D0113
148,https://tsb.gc.ca/eng/rapports-reports/rail/1997/r97d0253/r97d0253.html,R97D0253
149,https://tsb.gc.ca/eng/rapports-reports/rail/1997/r97h0008/r97h0008.html,R97H0008
150,https://tsb.gc.ca/eng/rapports-reports/rail/1997/r97h0009/r97h0009.html,R97H0009
