,doc_id,source,investigation_num,modified_title,modified_creator,modified_modified,modified_occurence_date,modified_release_date,doc_length
43,43,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19w0236/r19w0236.html,R19W0236,Railway Investigation Report R02W0060 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-16,26 April 2002,09 July 2003,3837
44,44,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19d0117/r19d0117.html,R19D0117,Railway Investigation Report R02W0063 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-18,2 May 2002,,10058
45,45,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19e0147/r19e0147.html,R19E0147,Railway Investigation Report R03C0101 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-18,24 October 2003,21 April 2005,2449
46,46,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19w0320/r19w0320.html,R19W0320,Railway Investigation Report R03D0042 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-18,27 March 2003,19 April 2004,954
47,47,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19h0123/r19h0123.html,R19H0123,Railway Investigation Report R03Q0003 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-18,20 January 2003,26 August 2004,2216
48,48,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19e0150/r19e0150.html,R19E0150,Railway Investigation Report R03Q0022 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-18,12 May 2003,11 August 2004,3616
49,49,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19c0002/r19c0002.html,R19C0002,Railway Investigation Report R03Q0036 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-18,30 July 2003,21 February 2005,2248
50,50,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19c0015/r19c0015.html,R19C0015,Railway Investigation Report R03T0026 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-18,21 January 2003,22 September 2004,2685
51,51,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19c0038/r19c0038.html,R19C0038,Railway Investigation Report R03T0047 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-18,22 January 2003,04 August 2004,2984
52,52,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19c0088/r19c0088.html,R19C0088,Railway Investigation Report R03T0064 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-20,13 February 2003,22 September 2004,3879
53,53,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19c0094/r19c0094.html,R19C0094,Railway Investigation Report R03T0080 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-20,21 February 2003,27 July 2004,5301
54,54,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19c0111/r19c0111.html,R19C0111,Railway Investigation Report R03T0157 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-20,21 May 2003,13 July 2004,3603
55,55,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19d0065/r19d0065.html,R19D0065,Railway Investigation Report R03T0158 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-20,21 May 2003,12 October 2004,1941
56,56,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19h0021/r19h0021.html,R19H0021,Railway Investigation Report R03V0019 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-20,5 February 2003,26 October 2004,1448
57,57,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19m0018/r19m0018.html,R19M0018,Railway Investigation Report R03V0083 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-24,14 May 2003,,9376
58,58,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19q0092/r19q0092.html,R19Q0092,Railway Investigation Report R03W0169 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-24,19 October 2003,,3782
59,59,https://tsb.gc.ca/eng/enquetes-investigations/rail/2019/r19m0028/r19m0028.html,R19M0028,Railway Investigation Report R04C0110 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2017-01-24,24 October 2004,07 March 2006,4358
