doc_id,source,investigation_num,chunk_id,chunk_length,title,creator,modified,occurence_date,release_date
304,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0015/r08m0015.html,R08M0015,304_5818,146,Rail transportation safety investigation R19T0107 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-12-18,28 June 2019,
304,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0015/r08m0015.html,R08M0015,304_5819,150,Rail transportation safety investigation R19T0107 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-12-18,28 June 2019,
304,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0015/r08m0015.html,R08M0015,304_5820,166,Rail transportation safety investigation R19T0107 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-12-18,28 June 2019,
304,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0015/r08m0015.html,R08M0015,304_5821,140,Rail transportation safety investigation R19T0107 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-12-18,28 June 2019,
304,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0015/r08m0015.html,R08M0015,304_5822,149,Rail transportation safety investigation R19T0107 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-12-18,28 June 2019,
304,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0015/r08m0015.html,R08M0015,304_5823,149,Rail transportation safety investigation R19T0107 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-12-18,28 June 2019,
304,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0015/r08m0015.html,R08M0015,304_5824,147,Rail transportation safety investigation R19T0107 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-12-18,28 June 2019,
304,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0015/r08m0015.html,R08M0015,304_5825,157,Rail transportation safety investigation R19T0107 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-12-18,28 June 2019,
304,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0015/r08m0015.html,R08M0015,304_5826,147,Rail transportation safety investigation R19T0107 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-12-18,28 June 2019,
304,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0015/r08m0015.html,R08M0015,304_5827,50,Rail transportation safety investigation R19T0107 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-12-18,28 June 2019,
305,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0063/r08m0063.html,R08M0063,305_5828,158,Rail transportation safety investigation R19T0147 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-01-24,15 August 2019,
305,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0063/r08m0063.html,R08M0063,305_5829,128,Rail transportation safety investigation R19T0147 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-01-24,15 August 2019,
305,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0063/r08m0063.html,R08M0063,305_5830,144,Rail transportation safety investigation R19T0147 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-01-24,15 August 2019,
305,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0063/r08m0063.html,R08M0063,305_5831,146,Rail transportation safety investigation R19T0147 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-01-24,15 August 2019,
305,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0063/r08m0063.html,R08M0063,305_5832,152,Rail transportation safety investigation R19T0147 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-01-24,15 August 2019,
305,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0063/r08m0063.html,R08M0063,305_5833,154,Rail transportation safety investigation R19T0147 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-01-24,15 August 2019,
305,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0063/r08m0063.html,R08M0063,305_5834,162,Rail transportation safety investigation R19T0147 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-01-24,15 August 2019,
305,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0063/r08m0063.html,R08M0063,305_5835,164,Rail transportation safety investigation R19T0147 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-01-24,15 August 2019,
305,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0063/r08m0063.html,R08M0063,305_5836,148,Rail transportation safety investigation R19T0147 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-01-24,15 August 2019,
305,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08m0063/r08m0063.html,R08M0063,305_5837,45,Rail transportation safety investigation R19T0147 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2025-01-24,15 August 2019,
306,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08q0028/r08q0028.html,R08Q0028,306_5838,149,Rail transportation safety investigation R19T0191 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-02-09,13 November 2019,
306,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08q0028/r08q0028.html,R08Q0028,306_5839,134,Rail transportation safety investigation R19T0191 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-02-09,13 November 2019,
306,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08q0028/r08q0028.html,R08Q0028,306_5840,131,Rail transportation safety investigation R19T0191 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-02-09,13 November 2019,
306,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08q0028/r08q0028.html,R08Q0028,306_5841,142,Rail transportation safety investigation R19T0191 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-02-09,13 November 2019,
306,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08q0028/r08q0028.html,R08Q0028,306_5842,141,Rail transportation safety investigation R19T0191 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-02-09,13 November 2019,
306,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08q0028/r08q0028.html,R08Q0028,306_5843,146,Rail transportation safety investigation R19T0191 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-02-09,13 November 2019,
306,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08q0028/r08q0028.html,R08Q0028,306_5844,135,Rail transportation safety investigation R19T0191 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-02-09,13 November 2019,
306,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08q0028/r08q0028.html,R08Q0028,306_5845,146,Rail transportation safety investigation R19T0191 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-02-09,13 November 2019,
306,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08q0028/r08q0028.html,R08Q0028,306_5846,164,Rail transportation safety investigation R19T0191 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-02-09,13 November 2019,
306,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08q0028/r08q0028.html,R08Q0028,306_5847,157,Rail transportation safety investigation R19T0191 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-02-09,13 November 2019,
306,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08q0028/r08q0028.html,R08Q0028,306_5848,152,Rail transportation safety investigation R19T0191 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-02-09,13 November 2019,
306,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08q0028/r08q0028.html,R08Q0028,306_5849,146,Rail transportation safety investigation R19T0191 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-02-09,13 November 2019,
306,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08q0028/r08q0028.html,R08Q0028,306_5850,145,Rail transportation safety investigation R19T0191 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-02-09,13 November 2019,
306,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08q0028/r08q0028.html,R08Q0028,306_5851,164,Rail transportation safety investigation R19T0191 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-02-09,13 November 2019,
306,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08q0028/r08q0028.html,R08Q0028,306_5852,171,Rail transportation safety investigation R19T0191 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-02-09,13 November 2019,
306,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08q0028/r08q0028.html,R08Q0028,306_5853,85,Rail transportation safety investigation R19T0191 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-02-09,13 November 2019,
307,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0029/r08t0029.html,R08T0029,307_5854,159,Rail transportation safety investigation R19V0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-07-19,3 January 2019,03 January 2019
307,https://tsb.gc.ca/eng/rapports-reports/rail/2008/r08t0029/r08t0029.html,R08T0029,307_5855,127,Rail transportation safety investigation R19V0002 - Transportation Safety Board of Canada,"Government of Canada, Transportation Safety Board of Canada",2023-07-19,3 January 2019,03 January 2019
